2023-11-03 17:05:52,223,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:05:52,325,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:05:52,419,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:05:52,511,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:05:52,604,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:05:52,702,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:05:52,807,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:05:52,924,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:06:04,013,DEBUG,protocol.py,keepalive_ping,1261,% sending keepalive ping
2023-11-03 17:06:04,014,DEBUG,protocol.py,keepalive_ping,1268,% received keepalive pong
2023-11-03 17:06:24,019,DEBUG,protocol.py,keepalive_ping,1261,% sending keepalive ping
2023-11-03 17:06:24,026,DEBUG,protocol.py,keepalive_ping,1268,% received keepalive pong
2023-11-03 17:06:44,043,DEBUG,protocol.py,keepalive_ping,1261,% sending keepalive ping
2023-11-03 17:06:44,043,DEBUG,protocol.py,keepalive_ping,1268,% received keepalive pong
2023-11-03 17:06:45,085,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:45,234,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:45,339,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:45,447,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:45,551,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:45,659,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:45,763,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:45,866,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:45,974,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,081,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,182,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,281,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,376,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,473,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,568,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,672,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,777,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,882,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:46,988,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:47,106,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:47,225,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:47,327,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
